nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt

Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 1 | [12864/732000 (1.76%)] Loss 0.0456, Accuaracy 37.61%
Train Epoch 1 | [25664/732000 (3.51%)] Loss 0.0443, Accuaracy 37.99%
Train Epoch 1 | [38464/732000 (5.25%)] Loss 0.0436, Accuaracy 38.51%
Train Epoch 1 | [51264/732000 (7.00%)] Loss 0.0430, Accuaracy 39.20%
Train Epoch 1 | [64064/732000 (8.75%)] Loss 0.0426, Accuaracy 39.68%
Train Epoch 1 | [76864/732000 (10.50%)] Loss 0.0421, Accuaracy 40.21%
Train Epoch 1 | [89664/732000 (12.25%)] Loss 0.0418, Accuaracy 40.59%
Train Epoch 1 | [102464/732000 (14.00%)] Loss 0.0415, Accuaracy 40.86%
Train Epoch 1 | [115264/732000 (15.75%)] Loss 0.0413, Accuaracy 41.06%
Train Epoch 1 | [128064/732000 (17.50%)] Loss 0.0411, Accuaracy 41.36%
Train Epoch 1 | [140864/732000 (19.24%)] Loss 0.0409, Accuaracy 41.59%
Train Epoch 1 | [153664/732000 (20.99%)] Loss 0.0406, Accuaracy 41.86%
Train Epoch 1 | [166464/732000 (22.74%)] Loss 0.0404, Accuaracy 42.10%
Train Epoch 1 | [179264/732000 (24.49%)] Loss 0.0402, Accuaracy 42.34%
Train Epoch 1 | [192064/732000 (26.24%)] Loss 0.0400, Accuaracy 42.63%
Train Epoch 1 | [204864/732000 (27.99%)] Loss 0.0398, Accuaracy 42.87%
Train Epoch 1 | [217664/732000 (29.74%)] Loss 0.0396, Accuaracy 43.10%
Train Epoch 1 | [230464/732000 (31.48%)] Loss 0.0394, Accuaracy 43.32%
Train Epoch 1 | [243264/732000 (33.23%)] Loss 0.0393, Accuaracy 43.50%
Train Epoch 1 | [256064/732000 (34.98%)] Loss 0.0391, Accuaracy 43.71%
Train Epoch 1 | [268864/732000 (36.73%)] Loss 0.0389, Accuaracy 43.93%
Train Epoch 1 | [281664/732000 (38.48%)] Loss 0.0387, Accuaracy 44.16%
Train Epoch 1 | [294464/732000 (40.23%)] Loss 0.0386, Accuaracy 44.37%
Train Epoch 1 | [307264/732000 (41.98%)] Loss 0.0384, Accuaracy 44.56%
Train Epoch 1 | [320064/732000 (43.72%)] Loss 0.0383, Accuaracy 44.72%
Train Epoch 1 | [332864/732000 (45.47%)] Loss 0.0381, Accuaracy 44.89%
Train Epoch 1 | [345664/732000 (47.22%)] Loss 0.0380, Accuaracy 45.06%
Train Epoch 1 | [358464/732000 (48.97%)] Loss 0.0378, Accuaracy 45.23%
Train Epoch 1 | [371264/732000 (50.72%)] Loss 0.0377, Accuaracy 45.42%
Train Epoch 1 | [384064/732000 (52.47%)] Loss 0.0376, Accuaracy 45.59%
Train Epoch 1 | [396864/732000 (54.22%)] Loss 0.0374, Accuaracy 45.73%
Train Epoch 1 | [409664/732000 (55.97%)] Loss 0.0373, Accuaracy 45.90%
Train Epoch 1 | [422464/732000 (57.71%)] Loss 0.0372, Accuaracy 46.08%
Train Epoch 1 | [435264/732000 (59.46%)] Loss 0.0370, Accuaracy 46.24%
Train Epoch 1 | [448064/732000 (61.21%)] Loss 0.0369, Accuaracy 46.40%
Train Epoch 1 | [460864/732000 (62.96%)] Loss 0.0368, Accuaracy 46.56%
Train Epoch 1 | [473664/732000 (64.71%)] Loss 0.0367, Accuaracy 46.72%
Train Epoch 1 | [486464/732000 (66.46%)] Loss 0.0365, Accuaracy 46.88%
Train Epoch 1 | [499264/732000 (68.21%)] Loss 0.0365, Accuaracy 47.00%
Train Epoch 1 | [512064/732000 (69.95%)] Loss 0.0363, Accuaracy 47.12%
Train Epoch 1 | [524864/732000 (71.70%)] Loss 0.0362, Accuaracy 47.26%
Train Epoch 1 | [537664/732000 (73.45%)] Loss 0.0361, Accuaracy 47.40%
Train Epoch 1 | [550464/732000 (75.20%)] Loss 0.0360, Accuaracy 47.52%
Train Epoch 1 | [563264/732000 (76.95%)] Loss 0.0359, Accuaracy 47.67%
Train Epoch 1 | [576064/732000 (78.70%)] Loss 0.0358, Accuaracy 47.79%
Train Epoch 1 | [588864/732000 (80.45%)] Loss 0.0357, Accuaracy 47.91%
Train Epoch 1 | [601664/732000 (82.19%)] Loss 0.0356, Accuaracy 48.02%
Train Epoch 1 | [614464/732000 (83.94%)] Loss 0.0355, Accuaracy 48.13%
Train Epoch 1 | [627264/732000 (85.69%)] Loss 0.0354, Accuaracy 48.24%
Train Epoch 1 | [640064/732000 (87.44%)] Loss 0.0354, Accuaracy 48.36%
Train Epoch 1 | [652864/732000 (89.19%)] Loss 0.0353, Accuaracy 48.48%
Train Epoch 1 | [665664/732000 (90.94%)] Loss 0.0352, Accuaracy 48.59%
Train Epoch 1 | [678464/732000 (92.69%)] Loss 0.0351, Accuaracy 48.69%
Train Epoch 1 | [691264/732000 (94.43%)] Loss 0.0350, Accuaracy 48.81%
Train Epoch 1 | [704064/732000 (96.18%)] Loss 0.0349, Accuaracy 48.93%
Train Epoch 1 | [716864/732000 (97.93%)] Loss 0.0348, Accuaracy 49.02%
Train Epoch 1 | [729664/732000 (99.68%)] Loss 0.0347, Accuaracy 49.12%
Train Epoch 1 | Avarage Loss 0.0347, Average Accuracy 49.14%
Valid Epoch 1 | [32/50000 (0.06%)] Loss 0.0770, Accuaracy 56.25%
